"Rank","Player","Team","Position","BYE","RV","FF Pts","ADP ( Average )","ADP Dif ( Average )","ADP (Underdog)","ADP Dif (Underdog)","ADP (CBS)","ADP Dif (CBS)","ADP (ESPN)","ADP Dif (ESPN)","ADP (FFPC)","ADP Dif (FFPC)","ADP (BB10s)","ADP Dif (BB10s)","ADP (NFL)","ADP Dif (NFL)","ADP (Y!)","ADP Dif (Y!)","ADP (Superflex)","ADP Dif (Superflex)","GC","GC Dif"
"183","Xavier Legette","CAR","WR-67","14","-54","5.0","163","-20","165","-18","200","17","159","-24","176","-7","183","0","207","24","191","8","185","2","69","2"
"184","Isaac Guerendo","SF","RB-66","14","-56","2.5","159","-25","191","7","170","-14","219","35","157","-27","162","-22","196","12","162","-22","165","-19","56","-10"
"185","Tre' Harris","LAC","WR-68","12","-48","5.3","179","-6","149","-36","0","-185","0","-185","172","-13","174","-11","166","-19","179","-6","166","-19","67","-1"
"186","Dont'e Thornton","LV","WR-69","8","-23","6.8","226","40","156","-30","0","-186","0","-186","185","-1","209","23","267","81","235","49","191","5","90","21"
"187","Joe Mixon","HOU","RB-67","6","-88","0.5","91","-96","108","-79","67","-120","91","-96","97","-90","81","-106","62","-125","122","-65","93","-94","42","-25"
"188","Kareem Hunt","KC","RB-68","10","-36","3.6","200","12","213","25","210","22","0","-188","195","7","213","25","204","16","0","-188","199","11","64","-4"
"189","Miles Sanders","DAL","RB-69","10","-28","4.1","219","30","238","49","0","-189","0","-189","222","33","252","63","274","85","207","18","230","41","71","2"
"190","Blake Corum","LAR","RB-70","8","-42","3.3","195","5","217","27","0","-190","0","-190","181","-9","198","8","243","53","182","-8","196","6","60","-10"
"191","Dameon Pierce","HOU","RB-71","6","-11","5.1","257","66","220","29","0","-191","335","144","233","42","260","69","300","109","232","41","259","68","72","1"
"192","Chris Rodriguez","WAS","RB-72","12","0","5.8","285","93","185","-7","0","-192","0","-192","204","12","245","53","0","-192","204","12","281","89","67","-5"
"193","Michael Wilson","ARI","WR-70","8","-30","6.4","220","27","194","1","0","-193","0","-193","211","18","205","12","330","137","240","47","209","16","76","6"
"194","Demario Douglas","NE","WR-71","14","-58","4.7","173","-21","147","-47","202","8","0","-194","159","-35","165","-29","261","67","156","-38","183","-11","62","-9"
"195","Tory Horton","SEA","WR-72","8","-32","6.3","216","21","174","-21","0","-195","0","-195","200","5","217","22","329","134","238","43","221","26","89","17"
"196","Luther Burden","CHI","WR-73","5","-75","3.7","143","-53","112","-84","173","-23","184","-12","140","-56","139","-57","210","14","161","-35","149","-47","57","-16"
"197","Ty Johnson","BUF","RB-73","7","-4","5.5","279","82","269","72","0","-197","0","-197","265","68","275","78","310","113","249","52","264","67","84","11"
"198","DJ Giddens","IND","RB-74","11","-42","3.3","206","8","192","-6","0","-198","0","-198","184","-14","235","37","309","111","201","3","201","3","66","-8"
"199","Tahj Brooks","CIN","RB-75","10","-26","4.2","237","38","200","1","0","-199","0","-199","180","-19","229","30","0","-199","203","4","217","18","73","-2"
"200","Sean Tucker","TB","RB-76","9","-23","4.4","247","47","216","16","0","-200","0","-200","192","-8","233","33","317","117","192","-8","226","26","77","1"
