"Rank","Player","Team","BYE","Position-Rank","FF Pts","VOR","ADP ( Average )","ADP Dif ( Average )","ADP (BB10s)","ADP Dif (BB10s)","ADP (CBS)","ADP Dif (CBS)","ADP (Drafters)","ADP Dif (Drafters)","ADP (ESPN)","ADP Dif (ESPN)","ADP (Fantrax)","ADP Dif (Fantrax)","ADP (FFPC)","ADP Dif (FFPC)","ADP (NFFC)","ADP Dif (NFFC)","ADP (NFL)","ADP Dif (NFL)","ADP (Sleeper)","ADP Dif (Sleeper)","ADP (Underdog)","ADP Dif (Underdog)","ADP (Y!)","ADP Dif (Y!)","ADP (Superflex)","ADP Dif (Superflex)","ADP (FFPC SF)","ADP Dif (FFPC SF)","ADP (Sleeper SF)","ADP Dif (Sleeper SF)","GC","GC Dif"
"129","Malik Willis","MIA","6","QB-20","267.2","-18","135","6","0","-129","0","-129","128","-1","187","58","130","1","147","18","146","17","0","-129","0","-129","133","4","121","-8","58","-71","58","-71","0","-129","134","5"
"130","Jayden Higgins","HOU","8","WR-52","141.3","-20","129","-1","0","-130","0","-130","131","1","159","29","118","-12","143","13","112","-18","0","-130","0","-130","124","-6","122","-8","157","27","159","29","0","-130","125","-5"
"131","KC Concepcion","CLE","11","WR-53","132.5","-28","123","-8","0","-131","0","-131","124","-7","122","-9","116","-15","136","5","123","-8","0","-131","0","-131","120","-11","132","1","149","18","149","18","0","-131","133","2"
"132","Tyler Shough","NO","8","QB-21","260.2","-25","128","-4","0","-132","0","-132","119","-13","155","23","124","-8","128","-4","126","-6","0","-132","0","-132","123","-9","133","1","47","-85","47","-85","0","-132","124","-8"
"133","Jacory Croskey-Merritt","WAS","7","RB-43","104.4","-36","117","-16","0","-133","0","-133","126","-7","129","-4","123","-10","116","-17","118","-15","0","-133","0","-133","122","-11","97","-36","136","3","136","3","0","-133","115","-18"
"134","Hunter Henry","NE","11","TE-17","139.4","-14","148","14","0","-134","0","-134","157","23","161","27","196","62","133","-1","160","26","0","-134","0","-134","152","18","152","18","141","7","141","7","0","-134","147","13"
"135","Isiah Pacheco","DET","6","RB-44","122.5","-18","143","8","0","-135","0","-135","147","12","140","5","154","19","145","10","153","18","0","-135","0","-135","149","14","148","13","158","23","160","25","0","-135","137","2"
"136","Juwan Johnson","NO","8","TE-18","134.9","-19","144","8","0","-136","0","-136","146","10","173","37","141","5","126","-10","150","14","0","-136","0","-136","157","21","161","25","129","-7","129","-7","0","-136","143","7"
"137","Rashid Shaheed","SEA","11","WR-54","139.0","-22","138","1","0","-137","0","-137","135","-2","160","23","142","5","150","13","134","-3","0","-137","0","-137","132","-5","157","20","159","22","161","24","0","-137","145","8"
"138","Brenton Strange","JAX","7","TE-19","131.9","-22","140","2","0","-138","0","-138","150","12","181","43","146","8","113","-25","143","5","0","-138","0","-138","150","12","139","1","132","-6","132","-6","0","-138","144","6"
"139","Kenyon Sadiq","NYJ","13","TE-20","136.5","-17","151","12","0","-139","0","-139","169","30","143","4","173","34","138","-1","164","25","0","-139","0","-139","161","22","181","42","145","6","145","6","0","-139","169","30"
"140","Chigoziem Okonkwo","WAS","7","TE-21","134.8","-19","145","5","0","-140","0","-140","138","-2","195","55","159","19","112","-28","148","8","0","-140","0","-140","139","-1","185","45","130","-10","130","-10","0","-140","150","10"
"141","Woody Marks","HOU","8","RB-45","110.0","-30","134","-7","0","-141","0","-141","144","3","138","-3","140","-1","148","7","137","-4","0","-141","0","-141","144","3","135","-6","152","11","153","12","0","-141","138","-3"
"142","Jalen Coker","CAR","5","WR-55","123.2","-38","131","-11","0","-142","0","-142","130","-12","152","10","127","-15","144","2","129","-13","0","-142","0","-142","131","-11","127","-15","156","14","158","16","0","-142","135","-7"
"143","Tyrone Tracy","NYG","8","RB-46","101.1","-39","133","-10","0","-143","0","-143","134","-9","184","41","139","-4","127","-16","131","-12","0","-143","0","-143","135","-8","123","-20","143","0","143","0","0","-143","126","-17"
"144","T.J. Hockenson","MIN","6","TE-22","128.5","-25","153","9","0","-144","0","-144","173","29","145","1","152","8","139","-5","177","33","0","-144","0","-144","167","23","193","49","144","0","144","0","0","-144","168","24"
"145","Dalton Schultz","HOU","8","TE-23","135.4","-18","163","18","0","-145","0","-145","176","31","196","51","165","20","149","4","178","33","0","-145","0","-145","168","23","201","56","148","3","148","3","0","-145","162","17"
"146","Makai Lemon","PHI","10","WR-56","91.6","-69","90","-56","0","-146","0","-146","92","-54","104","-42","90","-56","105","-41","94","-52","0","-146","0","-146","73","-73","78","-68","124","-22","124","-22","0","-146","96","-50"
"147","Brian Robinson","ATL","11","RB-47","119.5","-21","159","12","0","-147","0","-147","175","28","185","38","167","20","161","14","168","21","0","-147","0","-147","169","22","147","0","174","27","178","31","0","-147","156","9"
"148","C.J. Stroud","HOU","8","QB-22","255.6","-29","152","4","0","-148","0","-148","136","-12","180","32","194","46","174","26","159","11","0","-148","0","-148","141","-7","156","8","66","-82","66","-82","0","-148","140","-8"
"149","Brashard Smith","KC","5","RB-48","107.0","-33","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","295","146"
"150","AJ Barner","SEA","11","TE-24","125.0","-29","167","17","0","-150","0","-150","184","34","202","52","179","29","154","4","192","42","0","-150","0","-150","174","24","234","84","160","10","162","12","0","-150","171","21"
"151","Tyler Allgeier","ARI","14","RB-49","93.8","-46","142","-9","0","-151","0","-151","159","8","174","23","131","-20","153","2","138","-13","0","-151","0","-151","162","11","112","-39","164","13","167","16","0","-151","132","-19"
"152","Jauan Jennings","MIN","6","WR-57","118.2","-43","154","2","0","-152","0","-152","158","6","199","47","135","-17","184","32","156","4","0","-152","0","-152","151","-1","165","13","178","26","182","30","0","-152","153","1"
"153","Tre Tucker","LV","13","WR-58","120.5","-41","156","3","0","-153","0","-153","149","-4","201","48","151","-2","165","12","158","5","0","-153","0","-153","153","0","189","36","170","17","174","21","0","-153","161","8"
"154","Sam Darnold","SEA","11","QB-23","247.5","-37","162","8","0","-154","0","-154","145","-9","171","17","265","111","158","4","151","-3","0","-154","0","-154","140","-14","163","9","59","-95","59","-95","0","-154","142","-12"
"155","Alvin Kamara","NO","8","RB-50","92.0","-48","150","-5","0","-155","0","-155","168","13","144","-11","163","8","156","1","169","14","0","-155","0","-155","177","22","149","-6","165","10","169","14","0","-155","146","-9"
"156","Bryce Young","CAR","5","QB-24","241.2","-44","165","9","0","-156","0","-156","152","-4","197","41","213","57","199","43","185","29","0","-156","0","-156","158","2","162","6","81","-75","81","-75","0","-156","160","4"
"157","Daniel Jones","IND","13","QB-25","232.3","-53","155","-2","0","-157","0","-157","141","-16","177","20","199","42","166","9","166","9","0","-157","0","-157","146","-11","171","14","68","-89","68","-89","0","-157","159","2"
"158","Omar Cooper Jr.","NYJ","13","WR-59","101.8","-59","147","-11","0","-158","0","-158","155","-3","162","4","144","-14","170","12","162","4","0","-158","0","-158","143","-15","158","0","176","18","180","22","0","-158","154","-4"
"159","Adonai Mitchell","NYJ","13","WR-60","125.4","-36","184","25","0","-159","0","-159","153","-6","0","-159","211","52","182","23","174","15","0","-159","0","-159","170","11","173","14","188","29","195","36","0","-159","164","5"
"160","Jalen McMillan","TB","10","WR-61","100.0","-61","146","-14","0","-160","0","-160","143","-17","167","7","155","-5","157","-3","141","-19","0","-160","0","-160","145","-15","170","10","166","6","170","10","0","-160","163","3"
"161","Zach Charbonnet","SEA","11","RB-51","73.3","-67","137","-24","0","-161","0","-161","151","-10","136","-25","157","-4","135","-26","145","-16","0","-161","0","-161","159","-2","126","-35","151","-10","151","-10","0","-161","131","-30"
"162","Denzel Boston","CLE","11","WR-62","100.2","-61","149","-13","0","-162","0","-162","162","0","188","26","153","-9","162","0","144","-18","0","-162","0","-162","154","-8","154","-8","171","9","175","13","0","-162","157","-5"
"163","Aaron Rodgers","PIT","9","QB-26","239.6","-45","173","10","0","-163","0","-163","166","3","230","67","238","75","204","41","202","39","0","-163","0","-163","176","13","248","85","96","-67","96","-67","0","-163","218","55"
"164","Ryan Flournoy","DAL","14","WR-63","122.1","-39","183","19","0","-164","0","-164","154","-10","0","-164","175","11","179","15","167","3","0","-164","0","-164","160","-4","224","60","180","16","185","21","0","-164","170","6"
"165","Mason Taylor","NYJ","13","TE-25","113.6","-40","182","17","0","-165","0","-165","239","74","263","98","256","91","225","60","285","120","0","-165","0","-165","271","106","235","70","208","43","227","62","0","-165","286","121"
"166","Gunnar Helm","TEN","9","TE-26","118.1","-36","192","26","0","-166","0","-166","179","13","225","59","209","43","155","-11","208","42","0","-166","0","-166","181","15","0","-166","161","-5","164","-2","0","-166","185","19"
"167","Cam Ward","TEN","9","QB-27","226.7","-58","160","-7","0","-167","0","-167","140","-27","186","19","202","35","180","13","155","-12","0","-167","0","-167","138","-29","174","7","73","-94","73","-94","0","-167","152","-15"
"168","Braelon Allen","NYJ","13","RB-52","102.7","-38","187","19","0","-168","0","-168","196","28","0","-168","177","9","167","-1","193","25","0","-168","0","-168","205","37","145","-23","177","9","181","13","0","-168","165","-3"
"169","Justice Hill","BAL","13","RB-53","116.3","-24","206","37","0","-169","0","-169","198","29","0","-169","227","58","190","21","233","64","0","-169","0","-169","223","54","213","44","187","18","194","25","0","-169","249","80"
"170","Pat Freiermuth","PIT","9","TE-27","117.5","-36","195","25","0","-170","0","-170","194","24","203","33","198","28","168","-2","224","54","0","-170","0","-170","192","22","0","-170","167","-3","171","1","0","-170","202","32"
"171","Travis Hunter","JAX","7","WR-64","97.5","-63","157","-14","0","-171","0","-171","165","-6","111","-60","240","69","171","0","184","13","0","-171","0","-171","142","-29","153","-18","173","2","177","6","0","-171","166","-5"
"172","Antonio Williams","WAS","7","WR-65","115.6","-45","188","16","0","-172","0","-172","177","5","0","-172","214","42","172","0","173","1","0","-172","0","-172","175","3","179","7","181","9","186","14","0","-172","219","47"
"173","Germie Bernard","PIT","9","WR-66","105.2","-56","174","1","0","-173","0","-173","191","18","219","46","233","60","213","40","240","67","0","-173","0","-173","184","11","236","63","200","27","211","38","0","-173","234","61"
"174","Jalen Nailor","LV","13","WR-67","96.6","-64","161","-13","0","-174","0","-174","142","-32","221","47","161","-13","164","-10","154","-20","0","-174","0","-174","147","-27","191","17","175","1","179","5","0","-174","183","9"
"175","Dylan Sampson","CLE","11","RB-54","85.8","-54","179","4","0","-175","0","-175","160","-15","0","-175","150","-25","151","-24","152","-23","0","-175","0","-175","172","-3","146","-29","162","-13","165","-10","0","-175","141","-34"
"176","Isaac TeSlaa","DET","6","WR-68","111.1","-50","186","10","0","-176","0","-176","171","-5","0","-176","158","-18","193","17","170","-6","0","-176","0","-176","166","-10","218","42","194","18","203","27","0","-176","177","1"
"177","Tank Bigsby","PHI","10","RB-55","70.1","-70","158","-19","0","-177","0","-177","161","-16","183","6","172","-5","159","-18","171","-6","0","-177","0","-177","163","-14","159","-18","172","-5","176","-1","0","-177","151","-26"
"178","Kaelon Black","SF","8","RB-56","80.3","-60","181","3","0","-178","0","-178","228","50","259","81","326","148","201","23","213","35","0","-178","0","-178","233","55","215","37","206","28","222","44","0","-178","292","114"
"179","Ray Davis","BUF","7","RB-57","85.7","-54","190","11","0","-179","0","-179","183","4","0","-179","191","12","191","12","197","18","0","-179","0","-179","191","12","175","-4","199","20","210","31","0","-179","182","3"
"180","Jonah Coleman","DEN","10","RB-58","78.2","-62","178","-2","0","-180","0","-180","172","-8","0","-180","169","-11","152","-28","142","-38","0","-180","0","-180","155","-25","140","-40","163","-17","166","-14","0","-180","158","-22"
"181","Jacoby Brissett","ARI","14","QB-28","233.7","-51","197","16","0","-181","0","-181","180","-1","0","-181","230","49","205","24","196","15","0","-181","0","-181","195","14","194","13","100","-81","100","-81","0","-181","175","-6"
"182","Sean Tucker","TB","10","RB-59","86.3","-54","194","12","0","-182","0","-182","188","6","0","-182","228","46","189","7","195","13","0","-182","0","-182","183","1","183","1","192","10","201","19","0","-182","181","-1"
"183","Chris Bell","MIA","6","WR-69","98.9","-62","180","-3","0","-183","0","-183","223","40","251","68","267","84","232","49","257","74","0","-183","0","-183","228","45","207","24","212","29","235","52","0","-183","260","77"
"184","Emanuel Wilson","SEA","11","RB-60","91.6","-49","205","21","0","-184","0","-184","245","61","0","-184","180","-4","234","50","203","19","0","-184","0","-184","250","66","151","-33","222","38","253","69","0","-184","174","-10"
"185","Kimani Vidal","LAC","7","RB-61","82.4","-58","196","11","0","-185","0","-185","202","17","0","-185","182","-3","200","15","190","5","0","-185","0","-185","227","42","186","1","198","13","209","24","0","-185","180","-5"
"186","Terrance Ferguson","LAR","11","TE-28","81.0","-73","169","-17","0","-186","0","-186","186","0","194","8","246","60","160","-26","220","34","0","-186","0","-186","188","2","192","6","168","-18","172","-14","0","-186","213","27"
"187","Jaylin Noel","HOU","8","WR-70","114.9","-46","212","25","0","-187","0","-187","213","26","0","-187","266","79","221","34","258","71","0","-187","0","-187","207","20","198","11","214","27","239","52","0","-187","184","-3"
"188","Greg Dulcich","MIA","6","TE-29","121.7","-32","234","46","0","-188","0","-188","167","-21","0","-188","210","22","142","-46","188","0","0","-188","0","-188","178","-10","0","-188","227","39","152","-36","0","-188","285","97"
"189","Cade Otton","TB","10","TE-30","124.7","-29","242","53","0","-189","0","-189","193","4","0","-189","201","12","177","-12","223","34","0","-189","0","-189","186","-3","0","-189","230","41","168","-21","0","-189","224","35"
"190","Troy Franklin","DEN","10","WR-71","106.9","-54","208","18","0","-190","0","-190","215","25","0","-190","185","-5","255","65","222","32","0","-190","0","-190","218","28","217","27","216","26","243","53","0","-190","172","-18"
"191","Malik Washington","MIA","6","WR-72","93.0","-68","189","-2","0","-191","0","-191","163","-28","0","-191","178","-13","197","6","179","-12","0","-191","0","-191","182","-9","220","29","193","2","202","11","0","-191","186","-5"
"192","Jerry Jeudy","CLE","11","WR-73","78.8","-82","164","-28","0","-192","0","-192","181","-11","179","-13","197","5","183","-9","172","-20","0","-192","0","-192","180","-12","169","-23","182","-10","188","-4","0","-192","155","-37"
"193","Darnell Washington","PIT","9","TE-31","104.2","-49","220","27","0","-193","0","-193","230","37","227","34","324","131","230","37","288","95","0","-193","0","-193","231","38","0","-193","209","16","228","35","0","-193","324","131"
"194","Tyquan Thornton","KC","5","WR-74","115.2","-46","225","31","0","-194","0","-194","238","44","336","142","309","115","242","48","278","84","0","-194","0","-194","213","19","0","-194","252","58","245","51","0","-194","263","69"
"195","Calvin Ridley","TEN","9","WR-75","80.1","-81","168","-27","0","-195","0","-195","187","-8","172","-23","190","-5","202","7","216","21","0","-195","0","-195","187","-8","204","9","196","1","205","10","0","-195","176","-19"
"196","Fernando Mendoza","LV","13","QB-29","204.6","-80","170","-26","0","-196","0","-196","170","-26","176","-20","250","54","210","14","207","11","0","-196","0","-196","173","-23","240","44","97","-99","97","-99","0","-196","236","40"
"197","James Conner","ARI","14","RB-62","55.8","-84","171","-26","0","-197","0","-197","250","53","208","11","164","-33","208","11","231","34","0","-197","0","-197","241","44","150","-47","205","8","221","24","0","-197","179","-18"
"198","David Njoku","LAC","7","TE-32","117.7","-36","250","52","0","-198","0","-198","205","7","0","-198","234","36","187","-11","236","38","0","-198","0","-198","215","17","0","-198","231","33","183","-15","0","-198","214","16"
"199","Keaton Mitchell","LAC","7","RB-63","57.3","-83","177","-22","0","-199","0","-199","139","-60","0","-199","156","-43","132","-67","136","-63","0","-199","0","-199","137","-62","141","-58","146","-53","146","-53","0","-199","149","-50"
"200","Caleb Douglas","MIA","6","WR-76","92.3","-69","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","333","133"
"201","Xavier Legette","CAR","5","WR-77","91.9","-69","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","283","82"
"202","Mike Washington Jr.","LV","13","RB-64","69.6","-71","201","-1","0","-202","0","-202","206","4","0","-202","293","91","188","-14","181","-21","0","-202","0","-202","198","-4","166","-36","202","0","214","12","0","-202","198","-4"
"203","Chris Brooks","GB","11","RB-65","63.7","-77","191","-12","0","-203","0","-203","283","80","330","127","273","70","271","68","262","59","0","-203","0","-203","261","58","212","9","223","20","258","55","0","-203","258","55"
"204","Cooper Kupp","SEA","11","WR-78","91.3","-70","207","3","0","-204","0","-204","210","6","200","-4","229","25","222","18","232","28","0","-204","0","-204","200","-4","0","-204","207","3","224","20","0","-204","217","13"
"205","DJ Giddens","IND","13","RB-66","77.7","-63","221","16","0","-205","0","-205","236","31","0","-205","305","100","256","51","301","96","0","-205","0","-205","242","37","231","26","220","15","246","41","0","-205","262","57"
"206","Rasheen Ali","BAL","13","RB-67","69.8","-70","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","418","212"
"207","Ashton Dulin","IND","13","WR-79","89.2","-72","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","432","225"
"208","Jack Bech","LV","13","WR-80","93.9","-67","219","11","0","-208","0","-208","272","64","0","-208","242","34","264","56","286","78","0","-208","0","-208","243","35","211","3","221","13","249","41","0","-208","245","37"
"209","Samaje Perine","CIN","6","RB-68","103.6","-37","265","56","0","-209","0","-209","224","15","0","-209","282","73","216","7","267","58","0","-209","0","-209","235","26","0","-209","242","33","223","14","0","-209","272","63"
"210","Ty Johnson","BUF","7","RB-69","108.2","-32","275","65","0","-210","0","-210","251","41","0","-210","287","77","258","48","274","64","0","-210","0","-210","264","54","0","-210","254","44","248","38","0","-210","265","55"
"211","Jaylen Wright","MIA","6","RB-70","67.4","-73","213","2","0","-211","0","-211","233","22","0","-211","255","44","227","16","237","26","0","-211","0","-211","255","44","197","-14","210","-1","231","20","0","-211","227","16"
"212","Colby Parkinson","LAR","11","TE-33","100.1","-54","249","37","0","-212","0","-212","212","0","0","-212","189","-23","209","-3","226","14","0","-212","0","-212","211","-1","0","-212","236","24","207","-5","0","-212","231","19"
"213","Michael Mayer","LV","13","TE-34","80.6","-73","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","341","128"
"214","Jake Tonges","SF","8","TE-35","80.2","-73","214","0","0","-214","0","-214","240","26","0","-214","243","29","203","-11","238","24","0","-214","0","-214","247","33","242","28","203","-11","215","1","0","-214","317","103"
"215","Tre' Harris","LAC","7","WR-81","71.0","-90","185","-30","0","-215","0","-215","164","-51","0","-215","170","-45","186","-29","165","-50","0","-215","0","-215","165","-50","225","10","190","-25","199","-16","0","-215","167","-48"
"216","Zavier Scott","MIN","6","RB-71","65.7","-75","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","445","229"
"217","Geno Smith","NYJ","13","QB-30","224.9","-60","247","30","0","-217","0","-217","178","-39","0","-217","253","36","207","-10","205","-12","0","-217","0","-217","185","-32","0","-217","106","-111","106","-111","0","-217","215","-2"
"218","George Holani","SEA","11","RB-72","61.4","-79","210","-8","0","-218","0","-218","214","-4","0","-218","270","52","192","-26","204","-14","0","-218","0","-218","216","-2","243","25","201","-17","212","-6","0","-218","274","56"
"219","KaVontae Turpin","DAL","14","WR-82","85.4","-76","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","374","155"
"220","Zachariah Branch","ATL","11","WR-83","74.4","-87","202","-18","0","-220","0","-220","185","-35","234","14","231","11","206","-14","200","-20","0","-220","0","-220","179","-41","0","-220","204","-16","216","-4","0","-220","230","10"
"221","Phil Mafah","DAL","14","RB-73","62.1","-78","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","387","166"
"222","Joshua Palmer","BUF","7","WR-84","82.6","-78","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","344","122"
"223","Dawson Knox","BUF","7","TE-36","79.1","-75","233","10","0","-223","0","-223","273","50","252","29","334","111","265","42","332","109","0","-223","0","-223","259","36","0","-223","250","27","238","15","0","-223","345","122"
"224","Rashod Bateman","BAL","13","WR-85","100.3","-61","262","38","0","-224","0","-224","219","-5","0","-224","289","65","218","-6","263","39","0","-224","0","-224","212","-12","0","-224","239","15","218","-6","0","-224","206","-18"
"225","Hollywood Brown","PHI","10","WR-86","84.7","-76","231","6","0","-225","0","-225","271","46","311","86","251","26","316","91","270","45","0","-225","0","-225","269","44","0","-225","288","63","304","79","0","-225","290","65"
"226","MarShawn Lloyd","GB","11","RB-74","49.3","-91","203","-23","0","-226","0","-226","197","-29","0","-226","249","23","163","-63","201","-25","0","-226","0","-226","194","-32","233","7","186","-40","193","-33","0","-226","212","-14"
"227","Cole Kmet","CHI","10","TE-37","78.8","-75","235","8","0","-227","0","-227","282","55","217","-10","317","90","286","59","340","113","0","-227","0","-227","283","56","0","-227","264","37","271","44","0","-227","342","115"
"228","Mike Gesicki","CIN","6","TE-38","88.4","-65","258","30","0","-228","0","-228","211","-17","0","-228","258","30","211","-17","266","38","0","-228","0","-228","203","-25","0","-228","234","6","196","-32","0","-228","308","80"
"229","Tyler Higbee","LAR","11","TE-39","71.3","-82","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","348","119"
"230","Kayshon Boutte","NE","11","WR-87","68.0","-93","204","-26","0","-230","0","-230","226","-4","0","-230","184","-46","238","8","211","-19","0","-230","0","-230","217","-13","177","-53","215","-15","240","10","0","-230","173","-57"
"231","Treylon Burks","WAS","7","WR-88","76.7","-84","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","366","135"
"232","Jordan James","SF","8","RB-75","41.8","-98","200","-32","0","-232","0","-232","203","-29","0","-232","218","-14","178","-54","210","-22","0","-232","0","-232","214","-18","205","-27","191","-41","200","-32","0","-232","266","34"
"233","Kyle Juszczyk","SF","8","RB-76","55.3","-85","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","405","172"
"234","Josh Oliver","MIN","6","TE-40","68.5","-85","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","408","174"
"235","Jalen Tolbert","MIA","6","WR-89","75.5","-85","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","337","102"
"236","Evan Engram","DEN","10","TE-41","79.1","-75","257","21","0","-236","0","-236","222","-14","0","-236","244","8","195","-41","250","14","0","-236","0","-236","219","-17","0","-236","232","-4","187","-49","0","-236","255","19"
"237","Andrei Iosivas","CIN","6","WR-90","100.1","-61","284","47","0","-237","0","-237","281","44","0","-237","291","54","326","89","280","43","0","-237","0","-237","236","-1","0","-237","268","31","276","39","0","-237","319","82"
"238","Luke McCaffrey","WAS","7","WR-91","75.4","-86","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","330","92"
"239","Darius Slayton","NYG","8","WR-92","99.4","-62","283","44","0","-239","0","-239","242","3","0","-239","292","53","292","53","337","98","0","-239","0","-239","246","7","0","-239","266","27","274","35","0","-239","276","37"
"240","Jaydon Blue","DAL","14","RB-77","35.4","-105","193","-47","0","-240","0","-240","182","-58","0","-240","207","-33","169","-71","198","-42","0","-240","0","-240","193","-47","210","-30","185","-55","192","-48","0","-240","264","24"
"241","Jawhar Jordan","HOU","8","RB-78","54.4","-86","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","362","121"
"242","Dontayvion Wicks","PHI","10","WR-93","77.3","-84","248","6","0","-242","0","-242","192","-50","0","-242","217","-25","212","-30","218","-24","0","-242","0","-242","189","-53","0","-242","240","-2","219","-23","0","-242","203","-39"
"243","Devin Singletary","NYG","8","RB-79","50.8","-89","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","299","56"
"244","Isaiah Davis","NYJ","13","RB-80","73.8","-66","285","41","0","-244","0","-244","0","-244","0","-244","286","42","311","67","279","35","0","-244","0","-244","313","69","244","0","287","43","302","58","0","-244","280","36"
"245","Nicholas Singleton","TEN","9","RB-81","25.8","-114","175","-70","0","-245","0","-245","218","-27","247","2","285","40","198","-47","191","-54","0","-245","0","-245","210","-35","172","-73","197","-48","206","-39","0","-245","194","-51"
"246","Austin Hooper","ATL","11","TE-42","64.1","-90","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","398","152"
"247","Noah Fant","NO","8","TE-43","63.6","-90","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","365","118"
"248","Tank Dell","HOU","8","WR-94","68.6","-92","243","-5","0","-248","0","-248","201","-47","0","-248","187","-61","185","-63","221","-27","0","-248","0","-248","196","-52","0","-248","235","-13","198","-50","0","-248","200","-48"
"249","Jordan Whittington","LAR","11","WR-95","70.4","-91","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","386","137"
"250","Christian Kirk","SF","8","WR-96","71.3","-90","253","3","0","-250","0","-250","209","-41","0","-250","237","-13","214","-36","214","-36","0","-250","0","-250","222","-28","0","-250","243","-7","225","-25","0","-250","252","2"
"251","Ja'Tavion Sanders","CAR","5","TE-44","62.5","-91","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","'--","352","101"
"252","Darnell Mooney","NYG","8","WR-97","68.3","-93","246","-6","0","-252","0","-252","199","-53","0","-252","192","-60","217","-35","209","-43","0","-252","0","-252","204","-48","0","-252","241","-11","220","-32","0","-252","187","-65"
"253","Kaytron Allen","WAS","7","RB-82","28.1","-112","198","-55","0","-253","0","-253","189","-64","0","-253","276","23","175","-78","183","-70","0","-253","0","-253","199","-54","178","-75","179","-74","184","-69","0","-253","221","-32"
"254","Eli Stowers","PHI","10","TE-45","44.8","-109","209","-45","0","-254","0","-254","227","-27","0","-254","221","-33","196","-58","252","-2","0","-254","0","-254","209","-45","214","-40","184","-70","191","-63","0","-254","256","2"
